Step size,n=128 (6 threads),n=1024 (6 threads),n=8096 (6 threads)
0.5,0.00394,0.107,6.172
0.1,0.0185,0.507,33.917
0.05,0.033,1.016,59.982
0.01,0.137,4.941,301.307
0.005,0.2760,10.167,622.143
0.001,1.228,58.103,
0.0005,2.3892,114.558,
0.0001,12.0225,529.95,
