Step size,n=128 (2 processors),n=1024 (2 processors),n=8096 (2 processors)
0.5,0.0084,0.148,8.625
0.1,0.0147,0.731,44.625
0.05,0.0223,1.444,92.013
0.01,0.126,7.337,468.861
0.005,0.243,14.807,882.125
0.001,1.161,70.817,
0.0005,2.396,152.343,
0.0001,12.008,737.126,
