Step size,n=128 (4 threads),n=1024 (4 threads),n=8096 (4 threads)
0.5,0.0054,0.112,7.536
0.1,0.0189,0.584,40.489
0.05,0.034,1.069,74.029
0.01,0.145,5.808,401.122
0.005,0.2418,11.612,787.507
0.001,1.1974,59.778,
0.0005,2.345,116.001,
0.0001,12.803,601.811,
