Step size,n=128 (8 processors),n=1024 (8 processors),n=8096 (8 processors)
0.5,0.001323,0.072,3.755
0.1,0.00752,0.307,19.477
0.05,0.0102,0.606,39.571
0.01,0.055,3.261,198.004
0.005,0.106,6.343,407.687
0.001,0.497,30.092,
0.0005,0.957,63.657,
0.0001,4.996,326.154,
