Step size,n=128 (4 processors),n=1024 (4 processors),n=8096 (4 processors)
0.5,0.00165,0.081,4.601
0.1,0.00714,0.399,24.1271
0.05,0.0119,0.795,48.678
0.01,0.065,3.867,247.81
0.005,0.129,7.811,502.786
0.001,0.658,42.042,
0.0005,1.197,76.714,
0.0001,6.239,380.427,
